c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63
A108,20,1,1,1,182,151,1,1,0,7,1,1,0,1,2,1,99,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,4,0,1,3,1,1,0,5,0,0,0,0,1,1,0,1,1,1,0,0,1
A109,20,1,0,0,168,139,1,1,2,8,1,1,1,1,2,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,3,0,0,3,1,0,1,9,1,1,0,1,0,2,1,1,0,1,1,1,1
A110,23,0,1,0,187,70,0,0,2,7,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,5,1,1,3,0,0,1,3,1,1,1,0,0,1,0,0,1,2,0,1,1
A111,19,1,0,1,158,153,1,1,1,5,0,1,1,1,2,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,4,0,1,3,1,0,1,8,1,1,0,0,1,2,0,1,1,3,1,1,1
A112,24,1,1,1,183,150,1,1,0,2,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,6,0,0,2,1,1,0,4,0,0,1,0,1,1,1,1,0,2,1,0,1
A113,23,1,0,0,169,54,1,1,0,8,1,1,1,1,2,1,99,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,6,0,0,3,0,0,1,9,1,1,0,0,1,2,0,1,1,2,1,0,0
A114,23,0,1,0,180,149,0,0,1,7,0,1,0,1,2,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,4,1,1,2,0,1,0,5,0,0,0,0,1,1,0,1,0,2,1,1,1
A115,22,0,1,0,140,79,1,1,0,8,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,4,0,1,3,0,1,0,2,0,0,1,0,1,1,0,0,1,2,0,0,1
A116,21,0,0,0,197,125,0,0,2,9,1,1,1,0,1,0,99,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,6,0,1,3,0,0,1,1,1,1,1,1,0,2,0,1,1,2,1,1,0
A117,24,0,1,0,194,106,0,0,2,7,1,0,1,1,2,0,99,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,6,1,1,3,0,0,1,6,1,1,1,0,1,2,1,0,1,1,1,1,1
A118,22,0,1,1,155,111,1,1,1,8,0,1,0,0,1,99,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,7,1,1,3,1,1,0,5,0,0,0,0,1,1,1,1,0,2,1,0,1
A119,21,1,0,0,168,160,1,1,1,8,0,1,0,1,2,0,99,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,6,1,1,3,0,1,0,4,0,0,0,0,1,1,0,1,0,2,0,0,1
A120,20,1,1,0,199,99,1,1,0,8,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,6,0,1,3,0,0,1,5,1,1,1,0,0,1,1,0,1,3,1,1,1
A121,21,0,1,0,192,101,1,1,0,8,1,1,1,1,2,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,4,0,0,3,1,0,1,9,1,1,1,1,1,3,1,1,0,3,0,0,1
A122,20,0,0,0,156,106,1,1,2,6,1,0,0,0,1,99,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,2,0,1,1,1,1,0,5,0,0,0,0,1,1,0,0,0,2,1,0,1
A123,22,1,1,1,151,67,1,1,1,7,0,1,1,0,1,0,99,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,2,0,0,3,0,0,1,6,1,1,0,0,0,1,0,1,1,1,1,0,1
A124,22,0,1,0,187,136,0,0,2,7,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,7,0,1,3,1,1,0,9,0,0,1,1,0,1,0,1,0,3,1,1,1
A125,18,0,1,0,174,138,1,1,1,1,0,1,1,1,2,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,7,1,0,3,0,0,1,3,1,1,1,0,0,1,0,1,0,2,1,0,1
A126,23,0,1,0,167,151,0,0,1,8,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,3,0,0,3,0,1,0,9,0,0,1,0,1,1,0,0,0,1,1,1,0
A127,18,1,0,0,196,131,0,0,1,10,0,0,0,0,1,99,99,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,7,0,0,3,0,1,0,5,0,0,1,1,0,1,0,0,1,3,0,0,1
A128,21,1,1,0,197,149,0,0,1,9,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,6,1,1,3,0,0,1,4,1,1,0,0,0,1,0,1,1,3,1,0,1
A129,18,1,1,0,170,102,1,1,0,7,1,1,0,1,2,99,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,6,1,0,3,1,1,0,5,0,0,0,0,0,0,0,1,0,3,0,1,0
A130,22,1,1,1,181,94,1,1,0,8,1,1,0,1,2,99,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,1,0,3,0,0,1,1,0,1,0,1,0,1,1,0,0
A131,21,1,1,1,188,100,0,0,0,8,1,1,0,0,1,99,99,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,1,0,2,0,0,1,0,1,1,0,1,1,1,1,1,0
A132,18,0,1,0,162,74,0,0,1,8,0,1,1,0,1,99,99,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,3,1,0,3,1,0,1,10,1,1,1,1,1,3,0,1,1,3,1,1,1
A133,23,1,0,1,177,117,1,1,1,8,0,1,0,1,2,1,99,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,5,1,0,3,0,1,0,2,0,0,1,0,1,1,1,1,1,1,0,1,1
A134,22,0,1,0,162,97,0,0,0,7,1,1,0,1,2,99,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,3,0,1,3,1,1,0,6,0,0,0,1,1,2,0,1,1,2,1,1,1
A135,23,1,1,0,180,73,1,1,1,8,0,1,0,0,1,99,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,3,1,1,0,2,0,0,1,1,1,2,0,1,1,2,1,0,0
A136,21,0,1,1,192,108,0,0,2,7,1,1,0,0,1,99,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,6,0,1,3,1,1,0,5,0,0,1,1,1,2,0,1,0,2,1,1,1
A137,20,0,1,1,141,85,0,0,1,9,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,5,0,1,3,0,1,0,2,0,0,1,1,0,1,0,1,0,3,1,1,1
A138,20,0,0,0,165,105,1,1,1,1,0,0,1,0,1,99,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,0,1,5,1,1,0,0,0,1,0,0,1,1,0,1,1
A139,20,1,1,0,142,137,0,0,2,7,1,0,0,1,2,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,5,1,1,3,1,1,0,7,0,0,1,1,1,2,0,0,0,3,1,0,1
A140,23,1,1,1,141,94,1,1,0,7,1,1,0,1,2,99,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,3,1,1,0,3,0,0,1,1,0,1,1,1,0,2,0,1,1
A141,19,0,1,1,145,108,1,1,2,8,1,1,0,0,1,99,99,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,4,1,0,1,1,1,0,10,0,0,1,0,1,1,0,1,1,2,1,1,1
A142,22,1,1,0,157,74,1,1,0,7,1,0,1,0,1,99,99,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,2,1,0,2,0,0,1,8,1,1,0,1,1,3,1,0,1,2,0,0,1
A143,18,1,1,0,166,144,1,1,0,8,1,1,0,1,2,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,6,0,1,3,0,1,0,10,0,0,0,1,0,1,0,1,1,2,1,0,1
A144,23,1,1,1,193,151,1,1,2,5,1,1,1,0,1,99,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,3,1,0,3,0,0,1,1,1,1,0,0,0,1,0,1,1,2,1,1,1
A145,23,0,1,0,184,57,1,0,1,9,0,0,1,0,1,99,99,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,3,0,0,3,0,0,1,10,1,1,1,0,1,2,1,0,1,3,1,1,1
A146,23,1,1,1,150,87,1,1,2,8,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,2,1,1,3,1,1,0,10,0,0,1,1,0,1,0,1,1,2,1,1,0
A147,19,1,0,0,145,99,1,1,1,7,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,6,1,0,3,0,1,0,1,0,0,0,0,0,0,0,1,1,3,1,0,0
A148,22,0,0,1,191,96,1,1,1,7,0,1,1,0,1,0,99,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,0,0,3,0,0,1,5,1,1,1,0,1,2,0,1,1,3,1,0,1
A149,22,1,0,0,148,67,1,1,1,8,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,3,1,0,3,0,1,0,10,0,0,1,1,1,2,1,1,1,2,1,0,1
A150,20,0,1,0,150,84,1,1,2,8,1,1,0,1,2,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,7,1,0,3,0,1,0,3,0,0,1,0,1,1,0,1,1,2,1,0,1
A151,21,0,1,1,148,155,0,0,0,7,1,1,1,0,1,99,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,2,1,1,3,0,0,1,10,1,1,1,1,1,3,0,1,0,1,1,0,1
A152,24,0,1,1,153,146,1,1,0,8,1,0,0,0,1,99,99,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,2,1,1,3,1,1,0,10,0,0,0,0,1,1,1,0,1,2,1,0,1
A153,21,0,0,0,196,159,1,1,0,8,1,1,0,0,1,99,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,4,0,0,3,1,1,0,4,0,0,0,0,0,0,0,1,1,3,0,0,0
A154,21,1,1,1,185,52,1,0,2,8,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,3,1,1,3,1,0,1,10,1,1,1,1,1,3,0,1,1,1,0,1,1
A155,21,1,0,1,171,131,1,1,1,8,0,1,1,0,1,0,99,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,6,1,0,3,0,0,1,1,1,1,0,1,1,3,0,1,1,3,1,1,1
A156,23,1,1,0,143,118,1,1,2,9,1,0,0,1,2,1,99,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,7,1,0,1,0,1,0,6,0,0,1,0,0,0,0,0,0,2,0,0,0
A157,21,0,1,1,142,86,0,0,0,9,1,0,1,1,2,99,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,6,0,0,2,1,0,1,9,1,1,1,0,1,2,0,0,0,1,1,1,0
A158,21,0,1,1,141,126,1,1,1,8,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,3,0,0,3,1,0,1,4,1,1,1,0,1,2,0,0,0,2,1,0,0
A159,21,0,0,0,159,109,1,1,2,8,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,7,0,1,3,0,1,0,9,0,0,0,0,0,0,0,1,1,3,0,0,1
A160,21,1,0,1,173,82,1,1,1,8,0,0,1,1,2,99,99,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,5,1,1,3,1,0,1,6,1,1,1,0,1,2,0,0,1,1,0,1,1
A161,23,0,1,0,183,138,1,1,2,8,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,4,0,1,3,0,1,0,6,0,0,1,1,1,2,0,1,0,2,0,1,0
A162,21,0,1,1,152,90,1,1,1,8,0,1,0,1,2,0,99,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,6,1,1,3,0,1,0,8,0,0,0,0,0,0,0,1,0,2,0,0,1
A163,22,1,0,0,178,140,1,1,1,8,0,1,1,1,2,1,99,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,3,0,0,1,7,1,1,0,1,1,3,0,1,1,3,0,0,1
A164,23,1,1,0,188,54,1,0,2,7,1,1,1,0,1,0,99,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,3,0,0,3,0,0,1,10,1,1,1,1,1,3,0,1,1,1,1,1,1
A165,20,1,0,1,166,70,0,0,1,8,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,5,1,0,2,1,1,0,6,0,0,0,0,0,0,0,1,0,1,0,0,1
A166,24,0,0,1,188,123,0,0,1,7,0,1,1,0,1,1,99,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,2,1,0,3,1,0,1,5,1,1,0,1,1,3,1,1,1,1,1,1,1
A167,20,1,1,0,186,137,1,1,0,7,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,6,1,1,1,0,0,1,6,1,1,0,1,1,3,1,1,1,2,1,0,0
A168,21,0,0,0,153,78,1,1,1,8,0,1,1,0,1,99,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,7,0,1,3,0,0,1,1,1,1,0,0,0,1,0,1,0,2,1,0,0
A169,19,0,1,1,145,78,1,1,1,8,0,1,1,0,1,99,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,2,1,1,3,1,0,1,8,1,1,0,0,1,2,1,1,0,3,1,0,1
A170,19,0,0,1,170,81,1,1,0,8,1,0,0,0,1,99,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,1,0,3,0,0,0,0,1,1,0,0,1,1,1,0,1
A171,21,0,1,1,181,141,0,0,0,8,1,1,1,1,2,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,3,0,0,2,0,0,1,10,1,1,0,1,0,2,1,1,1,2,1,0,0
A172,19,0,1,1,165,155,1,1,1,8,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,7,0,1,3,0,0,1,5,1,1,1,1,0,2,0,1,1,1,1,0,1
A173,20,0,0,1,174,65,0,0,2,7,1,1,0,0,1,99,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,2,0,0,3,0,1,0,1,0,0,0,1,1,2,1,1,1,2,0,1,1
A174,19,1,1,0,146,110,1,1,0,6,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,5,0,0,3,1,0,1,2,1,1,1,0,1,2,0,1,0,1,0,1,1
A175,17,0,0,0,178,85,0,0,2,9,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,3,0,1,0,10,0,0,1,0,0,0,1,1,0,1,1,0,1
A176,22,1,1,0,166,61,0,0,0,8,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,3,0,1,2,0,1,0,6,0,0,0,1,0,1,0,1,1,2,1,1,1
A177,20,0,0,0,191,62,1,0,1,9,0,1,1,1,2,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,7,1,0,2,0,0,1,9,1,1,0,1,0,2,0,1,0,2,0,0,0
A178,21,1,1,1,183,50,1,0,2,7,1,0,1,0,1,99,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,1,9,1,1,1,0,1,2,0,0,0,2,1,1,0
A179,20,1,1,0,151,114,0,0,1,7,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,7,0,1,2,1,1,0,7,0,0,0,0,0,0,0,0,1,1,1,0,0
A180,20,0,1,0,182,98,0,0,2,8,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,5,1,0,3,0,0,1,2,1,1,0,0,0,1,0,1,1,2,0,1,0
A181,20,1,1,0,142,159,0,0,0,8,1,1,1,1,2,0,99,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,7,0,1,2,1,0,1,3,1,1,0,1,1,3,1,1,0,1,0,1,1
A182,21,0,0,0,188,90,1,1,0,7,1,1,0,1,2,99,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,4,1,0,2,0,1,0,7,0,0,1,1,1,2,0,1,0,2,1,1,1
A183,21,0,0,0,161,89,1,1,2,6,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,4,0,1,1,0,0,1,6,1,1,0,0,0,1,0,1,0,2,1,1,0
A184,20,1,0,1,153,70,1,1,0,7,1,1,0,0,1,0,99,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,6,0,0,3,1,1,0,10,0,0,1,0,0,0,0,1,1,2,1,1,1
A185,20,0,0,1,140,143,1,1,1,9,0,0,1,0,1,99,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,6,1,1,2,1,0,1,5,1,1,1,1,0,2,0,0,1,2,0,1,1
A186,22,1,0,1,183,147,1,1,0,8,1,0,1,0,1,99,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,7,0,1,3,1,0,1,1,1,1,1,1,0,2,0,0,0,3,0,1,1
A187,19,1,1,0,162,58,1,1,0,7,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,1,2,1,0,1,9,1,1,1,0,0,1,0,0,1,1,1,0,1
A188,18,0,0,0,172,109,1,1,0,1,0,0,1,0,1,99,99,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,3,1,0,1,10,1,1,1,1,1,3,0,0,0,3,0,1,1
A189,19,1,1,0,150,119,0,0,2,8,1,0,1,0,1,1,99,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,6,0,0,3,1,0,1,9,1,1,1,1,1,3,0,0,1,2,1,1,1
A190,18,1,0,1,169,145,0,0,0,8,1,0,0,0,1,1,99,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,3,1,1,0,6,0,0,1,1,0,1,0,0,0,1,1,1,1
A191,18,0,1,0,184,132,1,1,0,7,1,1,0,1,2,99,99,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,2,0,0,3,1,1,0,7,0,0,1,1,1,2,0,1,0,3,1,1,1
A192,21,0,0,0,159,104,0,0,0,8,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,3,1,0,1,10,1,1,1,1,0,2,0,1,1,2,0,0,0
A193,18,0,0,0,156,137,0,0,2,9,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,3,1,0,1,1,1,1,1,1,0,2,0,1,0,2,0,1,1
A194,23,1,1,1,157,52,0,0,0,8,1,1,1,1,2,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,3,1,0,1,10,1,1,0,1,0,2,0,1,1,2,0,1,1
A195,18,0,1,0,147,84,1,1,0,8,1,1,0,1,2,1,99,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,6,0,0,2,0,1,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0
A196,18,1,0,0,141,86,0,0,1,8,0,1,1,1,2,99,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,3,1,0,1,7,1,1,0,1,0,2,0,1,1,2,0,1,0
A197,17,1,0,0,168,148,0,0,1,8,0,0,0,1,2,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,3,1,1,0,2,0,0,1,1,0,1,0,0,1,3,1,0,1
A198,23,0,0,0,168,50,1,0,2,7,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,4,1,1,1,0,1,0,6,0,0,0,0,1,1,1,1,0,1,0,1,1
A199,23,0,1,0,145,130,0,0,0,8,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,4,1,0,3,1,1,0,6,0,0,1,0,0,0,1,1,1,1,1,0,1
A200,19,1,0,0,152,103,0,0,2,8,1,1,1,1,2,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,4,1,0,3,0,0,1,1,1,1,1,0,0,1,1,1,1,3,1,1,1
A201,18,1,1,0,187,121,0,0,2,8,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,2,0,0,3,1,1,0,6,0,0,0,1,1,2,1,1,0,1,1,0,1
A202,18,0,0,1,187,94,1,1,0,7,1,1,0,1,2,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,6,0,0,3,1,1,0,9,0,0,1,0,1,1,1,1,1,1,1,1,1
A203,16,1,0,0,179,114,1,1,1,8,0,1,0,1,2,99,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,2,0,0,3,0,1,0,6,0,0,0,0,0,0,1,1,0,3,1,1,1
A204,21,1,0,1,190,80,0,0,2,7,1,1,1,1,2,99,99,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,6,0,1,1,0,0,1,4,1,1,0,0,0,1,0,1,1,3,0,1,1
A205,18,1,1,1,188,57,0,0,2,7,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,6,1,0,3,0,0,1,5,1,1,0,0,0,1,0,0,0,1,0,0,1
A206,21,0,1,0,193,65,0,0,0,8,1,1,1,1,2,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,4,0,0,3,1,0,1,7,1,1,1,1,0,2,0,1,0,2,1,1,1
A207,18,0,0,1,147,126,1,1,2,8,1,1,1,1,2,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,7,1,0,3,1,0,1,2,1,1,1,0,0,1,1,1,0,3,0,0,1
A208,18,0,0,1,147,94,1,1,1,7,0,1,1,1,2,99,99,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,5,1,1,3,0,0,1,8,1,1,0,0,0,1,0,1,1,3,1,1,1
A209,17,1,1,0,166,107,0,0,2,8,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,7,0,0,1,0,0,0,0,0,0,2,1,0,1
A210,20,1,1,0,192,139,1,1,0,8,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,1,3,0,0,1,10,1,1,0,0,1,2,0,1,0,1,1,1,0
A211,21,1,0,1,181,139,1,1,0,7,1,1,1,1,2,0,99,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,4,0,1,3,0,0,1,10,1,1,0,0,1,2,0,1,1,3,1,1,0
A212,21,0,0,0,150,74,0,0,2,9,1,1,1,0,1,99,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,7,1,1,3,1,0,1,6,1,1,0,0,1,2,1,1,1,2,1,1,1
A213,18,0,1,1,178,160,1,1,1,8,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,5,0,0,3,0,1,0,4,0,0,0,1,0,1,1,1,1,1,0,1,1
A214,17,1,0,1,156,52,0,0,1,7,0,1,1,0,1,99,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,2,0,0,3,0,0,1,8,1,1,0,0,0,1,1,1,1,2,0,0,0
A215,19,0,1,0,149,100,0,0,2,7,1,0,1,0,1,99,99,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,2,0,0,1,6,1,1,0,1,0,2,0,0,0,3,0,0,1
